age_min,age_max,gender,energy_kcal,protein_g,avg_protein_g,min_fat_g,max_fat_g,avg_carb_g,min_carb_g,max_carb_g,fiber_g,water_g,vitamin_a_rae_mg,vitamin_d_mg,vitamin_e_mg,vitamin_k_mg,vitamin_b1_thiamin_mg,vitamin_b2_riboflavin_mg,vitamin_b3_niacin_mg,vitamin_b5_panthotenic_acid_mg,vitamin_b6_mg,folate_mg,vitamin_b12_mg,choline_mg,vitamin_c_mg,calcium_mg,phosphorus_mg,magnesium_mg,iron_mg,zinc_mg,selenium_mg,manganese_mg,fluoride_mg,potassium_mg,sodium_mg,copper_mg
14,18,Males,TDEE,0.8 g/kg BB,52,20% × TDEE,35% × TDEE,130,45% x TDEE,65% x TDEE,38,3300,0.9,15,15,75,1.2,1.3,16,5,1.3,0.4,0.0024,550,75,1300,1250,410,11,11,0.055,2.2,3,3000,1500,0.89
19,30,Males,TDEE,0.8 g/kg BB,56,20% × TDEE,35% × TDEE,130,45% x TDEE,65% x TDEE,38,3700,0.9,15,15,0.12,1.2,1.3,16,5,1.3,0.5,0.0024,550,90,1000,700,400,8,11,0.055,2.3,4,3400,1500,0.9
31,50,Males,TDEE,0.8 g/kg BB,56,20% × TDEE,35% × TDEE,130,45% x TDEE,65% x TDEE,38,3700,0.9,15,15,0.12,1.2,1.3,16,5,1.3,0.6,0.0024,550,90,1000,700,420,8,11,0.055,2.3,4,3400,1500,0.9
50,70,Males,TDEE,0.8 g/kg BB,56,20% × TDEE,35% × TDEE,130,45% x TDEE,65% x TDEE,30,3700,0.9,15,15,0.12,1.2,1.3,16,5,1.7,0.7,0.0024,550,90,1000,700,420,8,11,0.055,2.3,4,3400,1500,0.9
70,100,Males,TDEE,0.8 g/kg BB,56,20% × TDEE,35% × TDEE,130,45% x TDEE,65% x TDEE,30,3700,0.9,20,15,0.12,1.2,1.3,16,5,1.7,0.8,0.0024,550,90,1200,700,420,8,11,0.055,2.3,4,3400,1500,0.9
14,18,Females,TDEE,0.8 g/kg BB,46,20% × TDEE,35% × TDEE,130,45% x TDEE,65% x TDEE,26,2300,0.7,15,15,75,1,1,14,5,1.2,0.9,0.0024,400,65,1300,1250,360,15,9,0.055,1.6,3,2300,1500,0.89
19,30,Females,TDEE,0.8 g/kg BB,46,20% × TDEE,35% × TDEE,130,45% x TDEE,65% x TDEE,25,2700,0.7,15,15,0.09,1.1,1.1,14,5,1.3,0.10,0.0024,425,75,1000,700,310,18,8,0.055,1.8,3,2600,1500,0.9
31,50,Females,TDEE,0.8 g/kg BB,46,20% × TDEE,35% × TDEE,130,45% x TDEE,65% x TDEE,25,2700,0.7,15,15,0.09,1.1,1.1,14,5,1.3,0.11,0.0024,425,75,1000,700,320,18,8,0.055,1.8,3,2600,1500,0.9
50,70,Females,TDEE,0.8 g/kg BB,46,20% × TDEE,35% × TDEE,130,45% x TDEE,65% x TDEE,21,2700,0.7,15,15,0.09,1.1,1.1,14,5,1.5,0.12,0.0024,425,75,1200,700,320,8,8,0.055,1.8,3,2600,1500,0.9
70,100,Females,TDEE,0.8 g/kg BB,46,20% × TDEE,35% × TDEE,130,45% x TDEE,65% x TDEE,21,2700,0.7,20,15,0.09,1.1,1.1,14,5,1.5,0.13,0.0024,425,75,1200,700,320,8,8,0.055,1.8,3,2600,1500,0.9