disease,nutrient,min,max,basis,age_min,age_max,gender
normal,carbohydrate_g,0.55,0.6,TDEE,14,100,all
normal,protein_g,0.15,0.2,TDEE,14,100,all
normal,fat_g,0.25,0.3,TDEE,14,100,all
normal,sugar_g,0,0.05,TDEE,14,100,all
normal,saturated_fat_g,0,0.1,TDEE,14,100,all
normal,cholesterol_mg,0,300,1,14,100,all
dm2,energy_kcal,1800,2200,1,18,100,all
dm2,carbohydrate_g,0.5,0.55,TDEE,14,100,all
dm2,protein_g,0.12,0.15,TDEE,14,100,all
dm2,fat_g,0,0.3,TDEE,14,100,all
dm2,cholesterol_mg,0,300,1,14,100,all
dm2,fiber_g,20,35,1,14,100,all
dm2,vitamin_b6_mg,1.3,,1,14,100,all
dm2,vitamin_b12_mg,0.0024,,1,14,100,all
dm2,vitamin_c_mg,75,90,1,14,100,all
dm2,vitamin_a_rae_mg,0.7,0.9,1,14,100,all
dm2,iron_mg,8,18,1,14,100,all
dm2,zinc_mg,8,11,1,14,100,all
dm2,calcium_mg,950,1050,1,14,100,all
dm2,sodium_mg,0,2300,1,14,100,all
dm2,potassium_mg,2600,3400,1,14,100,all
hypertension,energy_kcal,1995,2205,1,14,100,all
hypertension,carbohydrate_g,0.38,0.55,TDEE,14,100,all
hypertension,protein_g,0.15,0.18,TDEE,14,100,all
hypertension,fat_g,0.25,0.27,TDEE,14,100,all
hypertension,sodium_mg,0,2300,1,14,100,all
hypertension,saturated_fat_g,0,0.06,TDEE,14,100,all
hypertension,potassium_mg,4465,4935,1,14,100,all
hypertension,calcium_mg,800,1250,1,14,100,all
hypertension,magnesium_mg,240,500,1,14,100,all
hypertension,cholesterol_mg,0,150,1,14,100,all
hypertension,fiber_g,30,38,1,14,100,all
cvd,energy_kcal,30,35,BBI,14,100,male
cvd,energy_kcal,25,30,BBI,14,100,female
cvd,carbohydrate_g,0.38,0.55,TDEE,14,100,all
cvd,protein_g,0.15,0.25,TDEE,14,100,all
cvd,fat_g,0.25,0.35,TDEE,14,100,all
cvd,saturated_fat_g,0,0.07,TDEE,14,100,all
cvd,trans_fat_g,0,0.01,TDEE,14,100,all
cvd,cholesterol_mg,0,300,1,14,100,all
cvd,sodium_mg,0,2300,1,14,100,all
cholesterol,energy_kcal,0.95,1.05,TDEE,14,100,all
cholesterol,carbohydrate_g,0,0.55,TDEE,14,100,all
cholesterol,protein_g,0.13,0.17,TDEE,14,100,all
cholesterol,fat_g,0.25,0.35,TDEE,14,100,all
cholesterol,saturated_fat_g,0,0.07,TDEE,14,100,all
cholesterol,trans_fat_g,0,0.01,TDEE,14,100,all
cholesterol,cholesterol_mg,0,200,1,14,100,all
cholesterol,sodium_mg,0,2300,1,14,100,all
ckd,energy_kcal,33.25,36.75,BB,14,60,all
ckd,energy_kcal,28.5,31.5,BB,61,100,all
ckd,carbohydrate_g,0.55,0.6,TDEE,14,100,all
ckd,protein_g,0.6,0.8,BB,14,100,all
ckd,fat_g,0.25,0.35,TDEE,14,100,all
ckd,saturated_fat_g,0,0.1,TDEE,14,100,all
ckd,sodium_mg,0,2000,1,14,100,all
ckd,calcium_mg,800,1000,1,14,100,all
ckd,water_g,30,35,BB,14,100,all
ckd,phosphorus_mg,800,1000,1,14,100,all
ckd,vitamin_c_mg,75,90,1,14,100,all